case_id,hotel_id,room_a_index,room_b_index,room_a_name,room_b_name,fuzzy_score,same_category,room_class_both_known,same_room_class,view_both_known,same_view,bed_type_both_known,same_bed_type,bed_config_both_present,same_bed_configuration,same_balcony,label,predicted_label,probability
hotel_39620741_20260722_174828,39620741,10,7,"Standard Main Building Double room with side sea view (twin beds) (bed type is subject to availability, main building)",Standard Main Building Double room with side sea view (full double bed) (main building),92.8,1,1,1,1,1,1,0,1,0,1,0,1,0.975236739372794
hotel_39620741_20260722_174828,39620741,155,168,"Duplex Garden,1 Double Bed and 2 Twin Sofa Beds","Duplex Garden Quad,1 Double Bed and 2 Twin Sofa Beds",100.0,1,0,0,1,1,0,0,1,1,1,0,1,0.9686752468602298
hotel_39620741_20260722_174828,39620741,169,157,"Lagoon Duplex Swim Up 5 Person,1 Double Bed and 2 Twin Sofa Beds","Lagoon Duplex Swim Up Quad,1 Double Bed and 2 Twin Sofa Beds",95.65217391304348,1,0,0,1,1,0,0,1,1,1,0,1,0.9533986704286086
hotel_39620741_20260722_174828,39620741,169,165,"Lagoon Duplex Swim Up 5 Person,1 Double Bed and 2 Twin Sofa Beds","Lagoon Duplex Swim Up Quad , 1 Double Bed and 2 Twin Sofa Beds",95.65217391304348,1,0,0,1,1,0,0,1,1,1,0,1,0.9533986704286086
hotel_39620741_20260722_174828,39620741,16,113,"Main Building Sea Side Triple , 2 Twin Beds","Main Building Side Sea,2 Twin Beds",100.0,1,0,0,0,0,0,0,1,1,1,0,1,0.9470223794197423
hotel_39620741_20260722_174828,39620741,132,113,"Main Building Sea Side 2+2,2 Twin Beds","Main Building Side Sea,2 Twin Beds",100.0,1,0,0,0,0,0,0,1,1,1,0,1,0.9470223794197423
hotel_39620741_20260722_174828,39620741,23,156,"A Block Family Land Quad , 1 Double Bed and 2 Twin Sofa Beds","A Block Family Land Quad,1 Double Bed and 2 Twin Sofa Beds",100.0,1,0,0,0,0,0,0,1,1,1,0,1,0.9470223794197423
hotel_39620741_20260722_174828,39620741,23,145,"A Block Family Land Quad , 1 Double Bed and 2 Twin Sofa Beds","A Block Family Land,1 Double Bed and 2 Twin Sofa Beds",100.0,1,0,0,0,0,0,0,1,1,1,0,1,0.9470223794197423
hotel_39766989_20260722_173629,39766989,107,22,Large Double Room,"ROOM, DOUBLE BED, LAND VIEW, LARGE",100.0,1,0,0,0,0,0,0,1,1,1,0,1,0.9470223794197423
hotel_39620741_20260722_174828,39620741,134,113,"Main Building Sea Side Triple,2 Twin Beds","Main Building Side Sea,2 Twin Beds",100.0,1,0,0,0,0,0,0,1,1,1,0,1,0.9470223794197423
hotel_39620741_20260722_174828,39620741,1,6,Double Bungalow (full double bed) (bed type is subject to availability),Standard Superior Double Bungalow (full double bed),100.0,1,0,0,0,0,1,1,1,1,1,0,1,0.9407575432714915
hotel_39620741_20260722_174828,39620741,161,171,"Main Building Family Sea Side Quad,1 Double Bed and 2 Twin Sofa Beds","Main Building Family Sea Side 5 Person,1 Double Bed and 2 Twin Sofa Beds",96.18320610687024,1,0,0,0,0,0,0,1,1,1,0,1,0.925586722228676
hotel_39766989_20260722_173629,39766989,22,23,"ROOM, DOUBLE BED, LAND VIEW, LARGE","ROOM, SINGLE, DOUBLE BED, LAND VIEW",89.28571428571429,1,0,0,1,1,0,0,1,1,1,0,1,0.9178497010046536
hotel_39766989_20260722_173629,39766989,24,25,DOUBLE ROOM - LARGE - LAND VIEW,DOUBLE ROOM - SINGLE USE - LAND VIEW,87.5,1,0,0,1,1,0,0,1,1,1,0,1,0.9041152794368011
hotel_39766989_20260722_173629,39766989,24,23,DOUBLE ROOM - LARGE - LAND VIEW,"ROOM, SINGLE, DOUBLE BED, LAND VIEW",87.5,1,0,0,1,1,0,0,1,1,1,0,1,0.9041152794368011
hotel_39766989_20260722_173629,39766989,69,24,Be Large Double Room,DOUBLE ROOM - LARGE - LAND VIEW,91.89189189189187,1,0,0,0,0,0,0,1,1,1,0,1,0.8921647586047577
hotel_39766989_20260722_173629,39766989,69,22,Be Large Double Room,"ROOM, DOUBLE BED, LAND VIEW, LARGE",91.89189189189187,1,0,0,0,0,0,0,1,1,1,0,1,0.8921647586047577
hotel_39620741_20260722_174828,39620741,162,168,Duplex Garden Quad,"Duplex Garden Quad,1 Double Bed and 2 Twin Sofa Beds",100.0,1,0,0,1,1,0,0,0,0,1,0,1,0.8901394007826601
hotel_39620741_20260722_174828,39620741,21,32,Lagoon Duplex Swim-up Quad,Lagoon Duplex Swim Up,100.0,1,0,0,1,1,0,0,0,0,1,0,1,0.8901394007826601
hotel_39620741_20260722_174828,39620741,103,157,Lagoon Duplex Swim Up Quad,"Lagoon Duplex Swim Up Quad,1 Double Bed and 2 Twin Sofa Beds",100.0,1,0,0,1,1,0,0,0,0,1,0,1,0.8901394007826601
hotel_39620741_20260722_174828,39620741,103,144,Lagoon Duplex Swim Up Quad,Lagoon Duplex Swim-up,100.0,1,0,0,1,1,0,0,0,0,1,0,1,0.8901394007826601
hotel_39620741_20260722_174828,39620741,165,144,"Lagoon Duplex Swim Up Quad , 1 Double Bed and 2 Twin Sofa Beds",Lagoon Duplex Swim-up,100.0,1,0,0,1,1,0,0,0,0,1,0,1,0.8901394007826601
hotel_39620741_20260722_174828,39620741,20,144,"Lagoon Duplex Swim up , 1 Double Bed and 2 Twin Sofa Beds",Lagoon Duplex Swim-up,100.0,1,0,0,1,1,0,0,0,0,1,0,1,0.8901394007826601
hotel_39620741_20260722_174828,39620741,169,144,"Lagoon Duplex Swim Up 5 Person,1 Double Bed and 2 Twin Sofa Beds",Lagoon Duplex Swim-up,100.0,1,0,0,1,1,0,0,0,0,1,0,1,0.8901394007826601
hotel_39620741_20260722_174828,39620741,149,144,"Lagoon Duplex Swim up,1 Double Bed and 2 Twin Sofa Beds",Lagoon Duplex Swim-up,100.0,1,0,0,1,1,0,0,0,0,1,0,1,0.8901394007826601
hotel_39620741_20260722_174828,39620741,169,172,"Lagoon Duplex Swim Up 5 Person,1 Double Bed and 2 Twin Sofa Beds",Lagoon Duplex Swim Up 5 Person,100.0,1,0,0,1,1,0,0,0,0,1,0,1,0.8901394007826601
hotel_39620741_20260722_174828,39620741,144,172,Lagoon Duplex Swim-up,Lagoon Duplex Swim Up 5 Person,100.0,1,0,0,1,1,0,0,0,0,1,0,1,0.8901394007826601
hotel_39620741_20260722_174828,39620741,149,32,"Lagoon Duplex Swim up,1 Double Bed and 2 Twin Sofa Beds",Lagoon Duplex Swim Up,100.0,1,0,0,1,1,0,0,0,0,1,0,1,0.8901394007826601
hotel_39620741_20260722_174828,39620741,58,168,DUPLEX - GARDEN,"Duplex Garden Quad,1 Double Bed and 2 Twin Sofa Beds",100.0,1,0,0,1,1,0,0,0,0,1,0,1,0.8901394007826601
hotel_39620741_20260722_174828,39620741,144,157,Lagoon Duplex Swim-up,"Lagoon Duplex Swim Up Quad,1 Double Bed and 2 Twin Sofa Beds",100.0,1,0,0,1,1,0,0,0,0,1,0,1,0.8901394007826601
hotel_39620741_20260722_174828,39620741,58,162,DUPLEX - GARDEN,Duplex Garden Quad,100.0,1,0,0,1,1,0,0,0,0,1,0,1,0.8901394007826601
hotel_39620741_20260722_174828,39620741,9,6,Double Bungalow (full double bed) (sofa),Standard Superior Double Bungalow (full double bed),90.56603773584904,1,0,0,0,0,1,1,1,1,1,0,1,0.866303344290194
hotel_39766989_20260722_173629,39766989,106,113,Large Double Room with Balcony,Superior Double Room (Limited Sea View) with Balcony,88.88888888888889,1,0,0,0,0,0,0,1,1,1,0,1,0.8614887481674641
hotel_39766989_20260722_173629,39766989,78,116,Superior Room Be Romantic Land View Unit,Superior Room (Land View),100.0,1,1,1,1,1,0,0,0,0,1,0,1,0.8569355790775933
hotel_39766989_20260722_173629,39766989,111,116,SUPERIOR BE ROMANTIC ROOM LAND VIEW,Superior Room (Land View),100.0,1,1,1,1,1,0,0,0,0,1,0,1,0.8569355790775933
hotel_39766989_20260722_173629,39766989,52,116,be romantic superior land view room,Superior Room (Land View),100.0,1,1,1,1,1,0,0,0,0,1,0,1,0.8569355790775933
hotel_39766989_20260722_173629,39766989,3,116,Be Romantic Superior Room Land View,Superior Room (Land View),100.0,1,1,1,1,1,0,0,0,0,1,0,1,0.8569355790775933
hotel_39766989_20260722_173629,39766989,97,25,Standard Double Room (Land View),DOUBLE ROOM - SINGLE USE - LAND VIEW,82.35294117647058,1,0,0,1,1,0,0,1,1,1,0,1,0.8525512844876504
hotel_39766989_20260722_173629,39766989,97,23,Standard Double Room (Land View),"ROOM, SINGLE, DOUBLE BED, LAND VIEW",82.35294117647058,1,0,0,1,1,0,0,1,1,1,0,1,0.8525512844876504
hotel_39620741_20260722_174828,39620741,23,161,"A Block Family Land Quad , 1 Double Bed and 2 Twin Sofa Beds","Main Building Family Sea Side Quad,1 Double Bed and 2 Twin Sofa Beds",87.37864077669903,1,0,0,0,0,0,0,1,1,1,0,1,0.8434613877413563
hotel_39620741_20260722_174828,39620741,156,161,"A Block Family Land Quad,1 Double Bed and 2 Twin Sofa Beds","Main Building Family Sea Side Quad,1 Double Bed and 2 Twin Sofa Beds",87.37864077669903,1,0,0,0,0,0,0,1,1,1,0,1,0.8434613877413563
hotel_39766989_20260722_173629,39766989,40,92,DOUBLE/TWIN LAND VIEW 2/3 PAX,DOUBLE LAND VIEW,100.0,1,0,0,1,1,0,0,1,0,1,0,1,0.8334288294419209
hotel_39620741_20260722_174828,39620741,145,161,"A Block Family Land,1 Double Bed and 2 Twin Sofa Beds","Main Building Family Sea Side Quad,1 Double Bed and 2 Twin Sofa Beds",86.02150537634408,1,0,0,0,0,0,0,1,1,1,0,1,0.8256722417473062
hotel_39620741_20260722_174828,39620741,145,171,"A Block Family Land,1 Double Bed and 2 Twin Sofa Beds","Main Building Family Sea Side 5 Person,1 Double Bed and 2 Twin Sofa Beds",86.02150537634408,1,0,0,0,0,0,0,1,1,1,0,1,0.8256722417473062
hotel_39620741_20260722_174828,39620741,145,147,"A Block Family Land,1 Double Bed and 2 Twin Sofa Beds","Main Building Family Side Sea,1 Double Bed and 2 Twin Sofa Beds",86.02150537634408,1,0,0,0,0,0,0,1,1,1,0,1,0.8256722417473062
hotel_39766989_20260722_173629,39766989,62,7,Be Large Room Land View,LARGE ROOM (2AD),100.0,1,0,0,0,0,0,0,0,0,1,0,1,0.8240596874024088
hotel_39766989_20260722_173629,39766989,7,24,LARGE ROOM (2AD),DOUBLE ROOM - LARGE - LAND VIEW,100.0,1,0,0,0,0,0,0,0,0,1,0,1,0.8240596874024088
hotel_39620741_20260722_174828,39620741,79,125,BUNGALOW 2+2,"Bungalow 2+2,1 Double Bed and 1 Twin Sofa Bed",100.0,1,0,0,0,0,0,0,0,0,1,0,1,0.8240596874024088
hotel_39766989_20260722_173629,39766989,7,19,LARGE ROOM (2AD),BE LARGE LANDVIEW DOUBLE ROOM,100.0,1,0,0,0,0,0,0,0,0,1,0,1,0.8240596874024088
hotel_39766989_20260722_173629,39766989,70,7,Standard Room Be Large Land View,LARGE ROOM (2AD),100.0,1,0,0,0,0,0,0,0,0,1,0,1,0.8240596874024088
hotel_39620741_20260722_174828,39620741,167,171,Main Building Family Sea Side 5 Person,"Main Building Family Sea Side 5 Person,1 Double Bed and 2 Twin Sofa Beds",100.0,1,0,0,0,0,0,0,0,0,1,0,1,0.8240596874024088
hotel_39766989_20260722_173629,39766989,2,7,Be Large Standard Room Land View,LARGE ROOM (2AD),100.0,1,0,0,0,0,0,0,0,0,1,0,1,0.8240596874024088
hotel_39620741_20260722_174828,39620741,17,145,A BLOCK FAMILY LAND,"A Block Family Land,1 Double Bed and 2 Twin Sofa Beds",100.0,1,0,0,0,0,0,0,0,0,1,0,1,0.8240596874024088
hotel_39620741_20260722_174828,39620741,22,161,Main Building Family Sea Side Quad,"Main Building Family Sea Side Quad,1 Double Bed and 2 Twin Sofa Beds",100.0,1,0,0,0,0,0,0,0,0,1,0,1,0.8240596874024088
hotel_39620741_20260722_174828,39620741,100,147,Main Building Family Side Sea,"Main Building Family Side Sea,1 Double Bed and 2 Twin Sofa Beds",100.0,1,0,0,0,0,0,0,0,0,1,0,1,0.8240596874024088
hotel_39620741_20260722_174828,39620741,54,113,MAIN BUILDING SEA SIDE,"Main Building Side Sea,2 Twin Beds",100.0,1,0,0,0,0,0,0,0,0,1,0,1,0.8240596874024088
hotel_39620741_20260722_174828,39620741,144,59,Lagoon Duplex Swim-up,DUPLEX - SWIM UP,100.0,1,0,0,0,0,0,0,0,0,1,0,1,0.8240596874024088
hotel_39620741_20260722_174828,39620741,32,59,Lagoon Duplex Swim Up,DUPLEX - SWIM UP,100.0,1,0,0,0,0,0,0,0,0,1,0,1,0.8240596874024088
hotel_39620741_20260722_174828,39620741,5,113,MAIN BUILDING SIDE SEA,"Main Building Side Sea,2 Twin Beds",100.0,1,0,0,0,0,0,0,0,0,1,0,1,0.8240596874024088
hotel_39620741_20260722_174828,39620741,96,15,A Block Land 2+2,"A Block Land Triple , 2 Twin Beds",100.0,1,0,0,0,0,0,0,0,0,1,0,1,0.8240596874024088
hotel_39620741_20260722_174828,39620741,96,127,A Block Land 2+2,"A Block Land Triple,2 Twin Beds",100.0,1,0,0,0,0,0,0,0,0,1,0,1,0.8240596874024088
hotel_39620741_20260722_174828,39620741,96,91,A Block Land 2+2,"a block land , 2 twin beds",100.0,1,0,0,0,0,0,0,0,0,1,0,1,0.8240596874024088
hotel_39620741_20260722_174828,39620741,59,172,DUPLEX - SWIM UP,Lagoon Duplex Swim Up 5 Person,100.0,1,0,0,0,0,0,0,0,0,1,0,1,0.8240596874024088
hotel_39620741_20260722_174828,39620741,59,157,DUPLEX - SWIM UP,"Lagoon Duplex Swim Up Quad,1 Double Bed and 2 Twin Sofa Beds",100.0,1,0,0,0,0,0,0,0,0,1,0,1,0.8240596874024088
hotel_39620741_20260722_174828,39620741,98,113,Main Building Sea Side 2+2,"Main Building Side Sea,2 Twin Beds",100.0,1,0,0,0,0,0,0,0,0,1,0,1,0.8240596874024088
hotel_39620741_20260722_174828,39620741,56,138,BUNGALOW - TRIPLE,"Bungalow Triple , 1 Double Bed and 1 Twin Sofa Bed",100.0,1,0,0,0,0,0,0,0,0,1,0,1,0.8240596874024088
hotel_39620741_20260722_174828,39620741,96,126,A Block Land 2+2,"A Block Land 2+2,2 Twin Beds",100.0,1,0,0,0,0,0,0,0,0,1,0,1,0.8240596874024088
hotel_39620741_20260722_174828,39620741,47,109,A BLOCK LAND,"A Block Land,2 Twin Beds",100.0,1,0,0,0,0,0,0,0,0,1,0,1,0.8240596874024088
hotel_39620741_20260722_174828,39620741,30,63,Family Room Block A,FAMILY ROOM - A,100.0,1,0,0,0,0,0,0,0,0,1,0,1,0.8240596874024088
