case_id,hotel_id,room_a_index,room_b_index,room_a_name,room_b_name,fuzzy_score,label
hotel_16299421_20260722_173317,16299421,1,13,Premium Room,DOUBLE PREMIUM,,1
hotel_16299421_20260722_173317,16299421,1,61,Premium Room,PREMIUM ROOM,,1
hotel_16299421_20260722_173317,16299421,1,77,Premium Room,PREMIUM DOUBLE ROOM (FULL DOUBLE BED) (BED TYPE IS SUBJECT TO AVAILABILITY),,1
hotel_16299421_20260722_173317,16299421,1,133,Premium Room,"Premium Double room (full double bed) (bed type is subject to availability, sofa, welcome drink)",,1
hotel_16299421_20260722_173317,16299421,1,134,Premium Room,"Premium Double room (twin beds) (bed type is subject to availability, sofa, welcome drink)",,1
hotel_16299421_20260722_173317,16299421,1,219,Premium Room,Premium Double Room,,1
hotel_16299421_20260722_173317,16299421,1,130,Premium Room,Premium Double room (full double bed),,1
hotel_16299421_20260722_173317,16299421,13,14,DOUBLE PREMIUM,DOUBLE PREMIUM,,1
hotel_16299421_20260722_173317,16299421,13,77,DOUBLE PREMIUM,PREMIUM DOUBLE ROOM (FULL DOUBLE BED) (BED TYPE IS SUBJECT TO AVAILABILITY),,1
hotel_16299421_20260722_173317,16299421,13,133,DOUBLE PREMIUM,"Premium Double room (full double bed) (bed type is subject to availability, sofa, welcome drink)",,1
hotel_16299421_20260722_173317,16299421,13,134,DOUBLE PREMIUM,"Premium Double room (twin beds) (bed type is subject to availability, sofa, welcome drink)",,1
hotel_16299421_20260722_173317,16299421,13,219,DOUBLE PREMIUM,Premium Double Room,,1
hotel_16299421_20260722_173317,16299421,13,130,DOUBLE PREMIUM,Premium Double room (full double bed),,1
hotel_16299421_20260722_173317,16299421,77,133,PREMIUM DOUBLE ROOM (FULL DOUBLE BED) (BED TYPE IS SUBJECT TO AVAILABILITY),"Premium Double room (full double bed) (bed type is subject to availability, sofa, welcome drink)",,1
hotel_16299421_20260722_173317,16299421,77,134,PREMIUM DOUBLE ROOM (FULL DOUBLE BED) (BED TYPE IS SUBJECT TO AVAILABILITY),"Premium Double room (twin beds) (bed type is subject to availability, sofa, welcome drink)",,1
hotel_16299421_20260722_173317,16299421,77,219,PREMIUM DOUBLE ROOM (FULL DOUBLE BED) (BED TYPE IS SUBJECT TO AVAILABILITY),Premium Double Room,,1
hotel_16299421_20260722_173317,16299421,77,130,PREMIUM DOUBLE ROOM (FULL DOUBLE BED) (BED TYPE IS SUBJECT TO AVAILABILITY),Premium Double room (full double bed),,1
hotel_16299421_20260722_173317,16299421,133,134,"Premium Double room (full double bed) (bed type is subject to availability, sofa, welcome drink)","Premium Double room (twin beds) (bed type is subject to availability, sofa, welcome drink)",,1
hotel_16299421_20260722_173317,16299421,133,219,"Premium Double room (full double bed) (bed type is subject to availability, sofa, welcome drink)",Premium Double Room,,1
hotel_16299421_20260722_173317,16299421,133,130,"Premium Double room (full double bed) (bed type is subject to availability, sofa, welcome drink)",Premium Double room (full double bed),,1
hotel_16299421_20260722_173317,16299421,134,219,"Premium Double room (twin beds) (bed type is subject to availability, sofa, welcome drink)",Premium Double Room,,1
hotel_16299421_20260722_173317,16299421,134,130,"Premium Double room (twin beds) (bed type is subject to availability, sofa, welcome drink)",Premium Double room (full double bed),,1
hotel_16299421_20260722_173317,16299421,219,130,Premium Double Room,Premium Double room (full double bed),,1
hotel_16299421_20260722_173317,16299421,2,29,Deluxe Room White Jacuzzi,DELUXE ROOM WHITE JACUZZI,,1
hotel_16299421_20260722_173317,16299421,2,39,Deluxe Room White Jacuzzi,DELUXE ROOM WITH JACUZZI,,1
hotel_16299421_20260722_173317,16299421,2,81,Deluxe Room White Jacuzzi,DELUXE WITH JACUZZI ROOM (JACUZZI),,1
hotel_16299421_20260722_173317,16299421,2,85,Deluxe Room White Jacuzzi,DELUXE JACUZZI ROOM,,1
hotel_16299421_20260722_173317,16299421,39,47,DELUXE ROOM WITH JACUZZI,DELUXE ROOM WITH JACUZZI,,1
hotel_16299421_20260722_173317,16299421,39,81,DELUXE ROOM WITH JACUZZI,DELUXE WITH JACUZZI ROOM (JACUZZI),,1
hotel_16299421_20260722_173317,16299421,39,85,DELUXE ROOM WITH JACUZZI,DELUXE JACUZZI ROOM,,1
hotel_16299421_20260722_173317,16299421,81,85,DELUXE WITH JACUZZI ROOM (JACUZZI),DELUXE JACUZZI ROOM,,1
hotel_16299421_20260722_173317,16299421,81,132,DELUXE WITH JACUZZI ROOM (JACUZZI),Deluxe with Jacuzzi room (jacuzzi),,1
hotel_16299421_20260722_173317,16299421,85,146,DELUXE JACUZZI ROOM,Deluxe Jacuzzi Room,,1
